lemma,Word,Perc_known,AoA_Kup_lem,nlp,pos
roadsweeper,roadsweeper,1.0,9.83,roadsweeper,PROPN
traindriver,traindriver,1.0,8.34,traindriver,X
tush,tush,0.95,8.29,tush,NOUN
hairdress,hairdress,0.95,8.86,hairdress,PROPN
pharmaceutic,pharmaceutics,1.0,13.88,pharmaceutics,NOUN
hoover,hoover,0.95,9.16,hoover,PROPN
shopkeeping,shopkeeping,1.0,11.07,shopkeeping,PROPN
pushiness,pushiness,1.0,8.5,pushiness,NOUN
underdevelop,underdevelop,1.0,10.88,underdevelop,NOUN
tirelessness,tirelessness,0.95,10.12,tirelessness,PROPN
oldfashioned,oldfashioned,1.0,8.61,oldfashioned,ADJ
wellmannere,wellmannered,1.0,8.21,wellmannered,VERB
dismissiveness,dismissiveness,1.0,12.13,dismissiveness,NOUN
spitefulness,spitefulness,1.0,11.22,spitefulness,NOUN
untruthfulness,untruthfulness,1.0,8.96,untruthfulness,NOUN
dispiritedness,dispiritedness,0.86,14.67,dispiritedness,PROPN
sled,sled,1.0,4.89,sled,PROPN
sled,sledding,1.0,4.89,sledding,VERB
sled,sleds,1.0,4.89,sleds,NOUN
plunger,plunger,1.0,9.63,plunger,VERB
plunger,plungers,0.99,9.63,plungers,NOUN
human,human,1.0,4.83,human,ADJ
human,humans,1.0,4.83,humans,NOUN
waterbed,waterbed,1.0,7.17,waterbed,NOUN
waterbed,waterbeds,1.0,7.17,waterbeds,NOUN
cymbal,cymbal,0.89,9.94,cymbal,PROPN
ginger,ginger,1.0,8.05,ginger,NOUN
bobsle,bobsled,0.89,9.38,bobsled,VERB
bobsled,bobsleds,0.86,9.38,bobsleds,NOUN
cardboard,cardboard,1.0,5.4,cardboard,NOUN
olive,olive,1.0,6.68,olive,NOUN
olive,olives,1.0,6.68,olives,NOUN
dogsled,dogsled,0.94,7.71,dogsled,PROPN
dogsled,dogsleds,0.95,7.71,dogsleds,NOUN
rubber,rubber,1.0,7.62,rubber,NOUN
rubber,rubbers,0.94,7.62,rubbers,NOUN
soybean,soybean,1.0,11.6,soybean,NOUN
soybean,soybeans,0.85,11.6,soybeans,NOUN
tangerine,tangerine,1.0,8.15,tangerine,NOUN
tangerine,tangerines,0.94,8.15,tangerines,NOUN
headrest,headrest,1.0,7.68,headrest,PROPN
headrest,headrests,1.0,7.68,headrests,NOUN
eucalypti,eucalypti,0.82,10.62,eucalypti,PROPN
eucalyptus,eucalyptus,0.89,10.62,eucalyptus,NOUN
saltwater,saltwater,1.0,9.39,saltwater,PROPN
armrest,armrest,1.0,6.56,armrest,PROPN
armrest,armrests,0.98,6.56,armrests,NOUN
paramedic,paramedic,1.0,9.89,paramedic,NOUN
liquid,liquid,1.0,5.83,liquid,NOUN
liquid,liquids,1.0,5.83,liquids,NOUN
billfold,billfold,0.84,9.38,billfold,NOUN
billfold,billfolds,0.86,9.38,billfolds,NOUN
canine,canine,1.0,8.45,canine,NOUN
canine,canines,0.99,8.45,canines,NOUN
flowerbed,flowerbed,1.0,7.05,flowerbed,NOUN
flowerbed,flowerbeds,1.0,7.05,flowerbeds,NOUN
soy,soy,1.0,13.56,soy,NOUN
bald,bald,1.0,7.26,bald,ADJ
bald,balder,1.0,7.26,balder,ADJ
lilac,lilac,0.9,8.89,lilac,PROPN
lilac,lilacs,0.99,8.89,lilacs,NOUN
hemorrhoid,hemorrhoid,0.94,13.88,hemorrhoid,PROPN
hemorrhoid,hemorrhoids,0.76,13.88,hemorrhoids,NOUN
orange,orange,1.0,3.26,orange,PROPN
orange,oranges,1.0,3.26,oranges,NOUN
arachnid,arachnid,0.89,11.88,arachnid,PROPN
arachnid,arachnids,0.88,11.88,arachnids,NOUN
underarm,underarm,0.94,7.29,underarm,NOUN
underarm,underarms,0.95,7.29,underarms,NOUN
barefoot,barefoot,1.0,5.25,barefoot,ADV
bearded,bearded,1.0,7.2,bearded,ADJ
thyroid,thyroid,1.0,13.83,thyroid,NOUN
wooden,wooden,1.0,5.89,wooden,ADJ
sleeveless,sleeveless,1.0,6.75,sleeveless,NOUN
concrete,concrete,1.0,7.44,concrete,PROPN
panty,panty,1.0,6.26,panty,NOUN
pregnant,pregnant,1.0,6.76,pregnant,ADJ
hula,hula,0.86,7.72,hula,NOUN
hulas,hulas,0.99,7.72,hulas,PROPN
female,female,1.0,5.89,female,ADJ
female,females,1.0,5.89,females,NOUN
crematory,crematory,0.95,12.0,crematory,NOUN
pigtailed,pigtailed,0.89,6.29,pigtailed,ADJ
sphincter,sphincter,1.0,13.8,sphincter,NOUN
sphincter,sphincters,0.69,13.8,sphincters,NOUN
backrest,backrest,1.0,8.35,backrest,PROPN
backrest,backrests,0.98,8.35,backrests,NOUN
blonde,blonde,1.0,6.06,blonde,ADJ
blonde,blondes,0.98,6.06,blondes,NOUN
farmhand,farmhand,1.0,7.89,farmhand,NOUN
farmhand,farmhands,1.0,7.89,farmhands,NOUN
fat,fat,1.0,5.15,fat,ADJ
fat,fats,1.0,5.15,fats,NOUN
fat,fatter,1.0,5.15,fatter,ADJ
fat,fattest,1.0,5.15,fattest,ADJ
hairless,hairless,1.0,8.67,hairless,ADJ
afghan,afghan,1.0,9.11,afghan,PROPN
binocular,binocular,1.0,7.32,binocular,PROPN
naked,naked,1.0,4.68,naked,ADJ
hairy,hairier,0.99,5.7,hairier,ADJ
hairy,hairiest,0.99,5.7,hairiest,ADJ
hairy,hairy,1.0,5.7,hairy,ADJ
saline,saline,0.94,11.71,saline,NOUN
sudsy,sudsy,0.95,8.33,sudsy,ADJ
wet,wet,1.0,2.47,wet,ADJ
wet,wets,1.0,2.47,wets,VERB
wet,wetter,1.0,2.47,wetter,ADJ
wet,wettest,1.0,2.47,wettest,ADJ
wet,wetting,1.0,2.47,wetting,VERB
wooded,wooded,1.0,8.68,wooded,ADJ
male,male,1.0,5.63,male,NOUN
male,males,1.0,5.63,males,NOUN
rusted,rusted,1.0,7.39,rusted,ADJ
aquamarine,aquamarine,1.0,9.94,aquamarine,NOUN
shirtless,shirtless,1.0,7.0,shirtless,PROPN
headless,headless,1.0,8.72,headless,ADJ
solid,solid,1.0,7.79,solid,ADJ
solider,solider,0.99,7.79,solider,NOUN
solid,solids,0.99,7.79,solids,NOUN
beaded,beaded,1.0,8.37,beaded,ADJ
blond,blond,1.0,6.72,blond,ADJ
blond,blonder,1.0,6.72,blonder,ADJ
blond,blondest,1.0,6.72,blondest,ADJ
blond,blonds,1.0,6.72,blonds,NOUN
soapy,soapy,1.0,5.72,soapy,ADJ
woodcutting,woodcutting,1.0,8.0,woodcutting,NOUN
prosthetic,prosthetic,0.95,11.44,prosthetic,ADJ
prosthetic,prosthetics,0.92,11.44,prosthetics,NOUN
roast,roast,1.0,8.5,roast,NOUN
roasting,roasting,0.97,8.5,roasting,NOUN
roast,roasts,0.97,8.5,roasts,NOUN
tartar,tartar,1.0,9.94,tartar,NOUN
tartar,tartars,0.97,9.94,tartars,NOUN
newborn,newborn,1.0,6.9,newborn,ADJ
newborn,newborns,1.0,6.9,newborns,NOUN
feline,feline,0.99,8.43,feline,ADJ
feline,felines,0.97,8.43,felines,NOUN
undercooked,undercooked,1.0,9.61,undercooked,ADJ
vertebrate,vertebrate,1.0,10.55,vertebrate,NOUN
vertebrate,vertebrates,0.97,10.55,vertebrates,NOUN
bloodstained,bloodstained,1.0,7.63,bloodstained,ADJ
flatbed,flatbed,1.0,9.3,flatbed,NOUN
flatbed,flatbeds,1.0,9.3,flatbeds,NOUN
joint,joint,1.0,9.05,joint,ADJ
joint,joints,0.99,9.05,joints,NOUN
preschool,preschool,1.0,4.05,preschool,NOUN
preschool,preschools,1.0,4.05,preschools,NOUN
beardless,beardless,1.0,8.0,beardless,ADJ
indigo,indigo,1.0,8.89,indigo,PROPN
freeze,frozen,1.0,5.6,frozen,VERB
barefooted,barefooted,1.0,5.37,barefooted,ADJ
hashish,hashish,0.68,14.85,hashish,NOUN
jewel,jeweled,0.94,8.06,jeweled,VERB
mummified,mummified,1.0,10.05,mummified,ADJ
paralegal,paralegal,1.0,15.11,paralegal,PROPN
paralegal,paralegals,0.74,15.11,paralegals,NOUN
pleated,pleated,0.76,9.69,pleated,PROPN
puffiest,puffiest,1.0,7.42,puffiest,PROPN
puffy,puffy,1.0,7.42,puffy,ADJ
grassy,grassy,1.0,6.33,grassy,ADJ
muddy,muddied,1.0,5.42,muddied,VERB
muddy,muddy,1.0,5.42,muddy,ADJ
muddy,muddying,1.0,5.42,muddying,VERB
mustached,mustached,1.0,7.63,mustached,ADJ
rainy,rainiest,1.0,4.0,rainiest,ADJ
rainy,rainy,1.0,4.0,rainy,ADJ
roundtable,roundtable,0.95,9.84,roundtable,PROPN
uncircumcised,uncircumcised,1.0,13.05,uncircumcised,ADJ
acrylic,acrylic,0.95,11.56,acrylic,PROPN
hot,hot,1.0,3.37,hot,ADJ
hot,hotter,1.0,3.37,hotter,ADJ
hot,hottest,1.0,3.37,hottest,ADJ
sunlit,sunlit,0.95,8.0,sunlit,PROPN
euro,euro,1.0,13.89,euro,PROPN
giant,giant,1.0,4.72,giant,PROPN
giant,giants,1.0,4.72,giants,NOUN
yellow,yellow,1.0,3.2,yellow,ADJ
yellow,yellows,1.0,3.2,yellows,NOUN
capillary,capillaries,0.78,13.17,capillaries,NOUN
capillary,capillary,0.9,13.17,capillary,NOUN
dark,dark,1.0,3.74,dark,ADJ
dark,darker,0.99,3.74,darker,ADJ
dark,darkest,0.99,3.74,darkest,ADJ
dark,darks,0.99,3.74,darks,NOUN
decimal,decimal,1.0,9.21,decimal,ADJ
decimal,decimals,0.99,9.21,decimals,NOUN
freshwater,freshwater,1.0,7.72,freshwater,X
pimpled,pimpled,0.95,9.65,pimpled,ADJ
pygmy,pygmies,0.69,12.77,pygmies,NOUN
pygmy,pygmy,0.68,12.77,pygmy,PROPN
redheaded,redheaded,1.0,6.47,redheaded,ADJ
wrinkled,wrinkled,1.0,7.26,wrinkled,ADJ
abdominal,abdominal,0.94,10.24,abdominal,ADJ
bobsledder,bobsledder,1.0,7.58,bobsledder,ADV
bobsledder,bobsledders,1.0,7.58,bobsledders,NOUN
nude,nude,1.0,8.21,nude,PROPN
nude,nudes,1.0,8.21,nudes,NOUN
gunmetal,gunmetal,0.84,13.75,gunmetal,PROPN
bloodshot,bloodshot,0.94,11.29,bloodshot,ADJ
thorny,thorny,1.0,7.56,thorny,ADJ
toothless,toothless,1.0,6.47,toothless,ADJ
civilian,civilian,1.0,9.76,civilian,ADJ
civilian,civilians,0.94,9.76,civilians,NOUN
handmade,handmade,1.0,7.79,handmade,ADJ
marine,marine,1.0,9.8,marine,PROPN
marines,marines,0.96,9.8,marines,PROPN
octagonal,octagonal,0.95,11.78,octagonal,ADJ
quilt,quilted,1.0,10.26,quilted,VERB
snowy,snowy,1.0,4.83,snowy,ADJ
unshaved,unshaved,1.0,9.74,unshaved,ADJ
dishwashing,dishwashing,1.0,6.37,dishwashing,NOUN
red,red,1.0,3.68,red,ADJ
red,redder,1.0,3.68,redder,ADJ
red,reddest,1.0,3.68,reddest,ADJ
red,reds,1.0,3.68,reds,NOUN
treeless,treeless,0.94,9.18,treeless,ADJ
unshaven,unshaven,1.0,10.0,unshaven,ADJ
dirty,dirtied,1.0,4.55,dirtied,VERB
dirty,dirtier,1.0,4.55,dirtier,ADJ
dirtie,dirties,1.0,4.55,dirties,NOUN
dirty,dirtiest,1.0,4.55,dirtiest,ADJ
dirty,dirty,1.0,4.55,dirty,ADJ
dirty,dirtying,1.0,4.55,dirtying,VERB
grill,grilled,1.0,7.26,grilled,VERB
icy,icy,1.0,5.83,icy,NOUN
scalier,scalier,0.99,7.83,scalier,PROPN
scaly,scaly,1.0,7.83,scaly,ADJ
cubical,cubical,1.0,11.2,cubical,ADJ
houseguest,houseguest,1.0,7.32,houseguest,X
pad,padded,1.0,6.83,padded,VERB
seedless,seedless,1.0,7.11,seedless,ADJ
sunny,sunnier,0.99,6.17,sunnier,ADJ
sunny,sunniest,0.99,6.17,sunniest,ADJ
sunny,sunny,1.0,6.17,sunny,ADJ
automotive,automotive,1.0,7.89,automotive,PROPN
bowlegged,bowlegged,0.94,9.59,bowlegged,ADJ
dewy,dewy,0.86,10.17,dewy,ADJ
genital,genital,0.94,9.82,genital,ADJ
genital,genitals,0.91,9.82,genitals,NOUN
khaki,khaki,0.95,9.89,khaki,NOUN
khaki,khakis,0.99,9.89,khakis,NOUN
sequine,sequined,0.71,9.2,sequined,VERB
duplex,duplex,1.0,11.05,duplex,PROPN
longhaired,longhaired,1.0,7.05,longhaired,ADJ
sweaty,sweatier,0.99,5.94,sweatier,ADJ
sweaty,sweatiest,0.99,5.94,sweatiest,ADJ
sweaty,sweaty,1.0,5.94,sweaty,ADJ
forehand,forehand,0.95,10.89,forehand,PROPN
unshelled,unshelled,1.0,9.75,unshelled,ADJ
stutterer,stutterer,0.95,10.06,stutterer,PROPN
stutterer,stutterers,0.96,10.06,stutterers,NOUN
centerfold,centerfold,1.0,10.8,centerfold,PROPN
centerfold,centerfolds,0.88,10.8,centerfolds,NOUN
infomercial,infomercial,0.94,9.76,infomercial,NOUN
infomercial,infomercials,0.94,9.76,infomercials,NOUN
leftover,leftover,1.0,7.28,leftover,X
chalky,chalky,1.0,8.05,chalky,ADJ
crusty,crusty,1.0,7.63,crusty,ADJ
naval,naval,0.95,9.7,naval,PROPN
skintight,skintight,1.0,11.39,skintight,NOUN
toeless,toeless,0.95,8.56,toeless,ADJ
whiskered,whiskered,0.95,8.46,whiskered,ADJ
silky,silky,1.0,9.1,silky,ADJ
unpaved,unpaved,1.0,8.68,unpaved,ADJ
wastewater,wastewater,0.94,11.53,wastewater,NOUN
eyeless,eyeless,1.0,8.42,eyeless,ADJ
fry,fried,1.0,7.47,fried,VERB
manicure,manicured,1.0,11.85,manicured,VERB
minty,minty,1.0,7.9,minty,ADJ
multicolored,multicolored,1.0,7.11,multicolored,ADJ
quadriplegic,quadriplegic,0.95,13.5,quadriplegic,NOUN
quadriplegic,quadriplegics,0.7,13.5,quadriplegics,NOUN
rectangular,rectangular,1.0,5.42,rectangular,ADJ
sockless,sockless,1.0,6.79,sockless,ADJ
sole,sole,1.0,7.06,sole,ADJ
sol,soles,0.98,7.06,soles,NOUN
topless,topless,1.0,10.11,topless,PROPN
bifocal,bifocal,1.0,11.39,bifocal,ADJ
waxy,waxy,1.0,8.05,waxy,ADJ
bicuspid,bicuspid,0.89,12.5,bicuspid,ADJ
bicuspid,bicuspids,0.74,12.5,bicuspids,NOUN
fluorine,fluorine,0.9,13.47,fluorine,NOUN
bloody,bloodier,1.0,5.83,bloodier,ADJ
bloody,bloodiest,1.0,5.83,bloodiest,ADJ
bloody,bloody,1.0,5.83,bloody,ADJ
starry,starry,1.0,7.89,starry,PROPN
sugar,sugared,0.89,7.0,sugared,VERB
bathe,bathing,1.0,3.84,bathing,VERB
bloom,blooming,0.95,7.17,blooming,VERB
bread,breaded,1.0,9.11,breaded,VERB
bronze,bronzed,0.95,10.0,bronzed,VERB
creaky,creaky,0.95,6.89,creaky,ADJ
dead,dead,1.0,5.17,dead,ADJ
dead,deader,1.0,5.17,deader,ADJ
dead,deadest,1.0,5.17,deadest,ADJ
dorsal,dorsal,0.85,13.0,dorsal,ADJ
earless,earless,0.83,9.33,earless,ADJ
green,green,1.0,3.79,green,ADJ
green,greener,1.0,3.79,greener,ADJ
green,greenest,1.0,3.79,greenest,ADJ
hieroglyphic,hieroglyphic,0.95,12.0,hieroglyphic,ADJ
legless,legless,1.0,8.37,legless,ADJ
pubic,pubic,1.0,10.47,pubic,ADJ
spiky,spikier,0.99,7.67,spikier,ADJ
spiky,spiky,0.95,7.67,spiky,ADJ
stagehand,stagehand,1.0,11.0,stagehand,NOUN
stagehand,stagehands,0.88,11.0,stagehands,NOUN
tabloid,tabloid,1.0,10.95,tabloid,NOUN
tabloid,tabloids,0.99,10.95,tabloids,NOUN
triangular,triangular,1.0,7.8,triangular,ADJ
underground,underground,1.0,7.37,underground,ADV
underground,undergrounds,1.0,7.37,undergrounds,NOUN
bioluminescent,bioluminescent,0.67,15.67,bioluminescent,PROPN
ceramic,ceramic,1.0,8.37,ceramic,PROPN
crispy,crispier,1.0,6.39,crispier,ADJ
crispy,crispy,1.0,6.39,crispy,ADJ
cupful,cupful,1.0,6.4,cupful,NOUN
freeze,freezing,1.0,6.05,freezing,VERB
glaze,glazed,1.0,7.19,glazed,VERB
lounger,lounger,0.89,9.82,lounger,PROPN
mince,minced,0.94,13.06,minced,VERB
oval,oval,1.0,5.95,oval,PROPN
overcast,overcast,1.0,9.05,overcast,ADJ
purple,purple,1.0,3.6,purple,PROPN
purple,purples,1.0,3.6,purples,NOUN
scarlet,scarlet,0.95,11.36,scarlet,PROPN
serrate,serrated,0.89,11.29,serrated,VERB
smoky,smokier,1.0,6.58,smokier,ADJ
smoky,smoky,1.0,6.58,smoky,ADJ
stinging,stinging,1.0,6.78,stinging,ADJ
striped,striped,1.0,4.65,striped,PROPN
stubbly,stubbly,0.95,12.26,stubbly,ADJ
aboveground,aboveground,1.0,8.05,aboveground,ADJ
blind,blind,1.0,7.0,blind,ADJ
blind,blinded,1.0,7.0,blinded,VERB
blinder,blinder,1.0,7.0,blinder,PROPN
blindest,blindest,1.0,7.0,blindest,X
blind,blinds,1.0,7.0,blinds,NOUN
metallic,metallic,1.0,9.63,metallic,ADJ
salt,salted,1.0,7.89,salted,VERB
bipedal,bipedal,0.84,12.44,bipedal,ADJ
cloudy,cloudier,0.99,5.5,cloudier,ADJ
cloudy,cloudy,1.0,5.5,cloudy,ADJ
color,colored,1.0,5.95,colored,VERB
colored,coloreds,0.99,5.95,coloreds,NOUN
comic,comic,1.0,7.0,comic,ADJ
crimson,crimson,1.0,10.28,crimson,PROPN
evergreen,evergreen,1.0,8.95,evergreen,PROPN
evergreen,evergreens,1.0,8.95,evergreens,NOUN
featherless,featherless,1.0,10.33,featherless,ADJ
frosted,frosted,1.0,7.72,frosted,ADJ
horned,horned,0.95,9.32,horned,ADJ
invertebrate,invertebrate,1.0,10.78,invertebrate,PROPN
invertebrate,invertebrates,0.98,10.78,invertebrates,NOUN
mash,mashed,0.95,5.61,mashed,VERB
mauve,mauve,0.95,11.26,mauve,PROPN
meatpacking,meatpacking,1.0,9.33,meatpacking,NOUN
military,militaries,0.99,8.2,militaries,NOUN
military,military,1.0,8.2,military,NOUN
moist,moist,1.0,9.55,moist,ADJ
paraplegic,paraplegic,0.94,13.53,paraplegic,ADJ
paraplegic,paraplegics,0.89,13.53,paraplegics,NOUN
pastel,pastel,1.0,10.05,pastel,PROPN
pastel,pastels,1.0,10.05,pastels,NOUN
plump,plump,1.0,8.21,plump,ADJ
recline,reclining,1.0,8.79,reclining,VERB
solar,solar,1.0,9.05,solar,NOUN
sweet,sweet,1.0,4.53,sweet,ADJ
sweet,sweeter,1.0,4.53,sweeter,ADJ
sweet,sweetest,1.0,4.53,sweetest,ADJ
sweet,sweets,1.0,4.53,sweets,NOUN
thick,thick,1.0,5.61,thick,ADJ
thick,thicker,1.0,5.61,thicker,ADJ
thick,thickest,1.0,5.61,thickest,ADJ
typewritten,typewritten,1.0,8.5,typewritten,ADJ
collarless,collarless,0.9,11.33,collarless,PROPN
deceased,deceased,1.0,10.83,deceased,ADJ
hexagonal,hexagonal,1.0,10.39,hexagonal,ADJ
pointy,pointy,1.0,7.39,pointy,ADJ
springiest,springiest,0.99,8.89,springiest,PROPN
springy,springy,1.0,8.89,springy,ADJ
steroid,steroid,1.0,13.67,steroid,NOUN
unbuckle,unbuckled,1.0,5.63,unbuckled,VERB
cursive,cursive,1.0,7.32,cursive,ADJ
diagonal,diagonal,1.0,8.0,diagonal,ADJ
diagonal,diagonals,0.95,8.0,diagonals,NOUN
equestrian,equestrian,0.89,12.76,equestrian,PROPN
feathered,feathered,1.0,8.11,feathered,ADJ
flame,flaming,1.0,7.32,flaming,VERB
furry,furry,1.0,5.72,furry,ADJ
fuzzy,fuzzier,1.0,5.05,fuzzier,ADJ
fuzzy,fuzziest,1.0,5.05,fuzziest,ADJ
fuzzy,fuzzy,1.0,5.05,fuzzy,ADJ
hind,hind,0.95,9.21,hind,X
humpbacked,humpbacked,1.0,8.21,humpbacked,ADJ
juicy,juicier,1.0,4.84,juicier,ADJ
juicy,juiciest,1.0,4.84,juiciest,ADJ
juicy,juicy,1.0,4.84,juicy,ADJ
pyrotechnic,pyrotechnic,0.83,12.93,pyrotechnic,ADJ
stormy,stormy,1.0,6.3,stormy,ADJ
stationary,stationary,1.0,7.22,stationary,ADJ
slipperi,slipperier,1.0,6.72,slipperier,ADJ
slipperi,slipperiest,1.0,6.72,slipperiest,ADJ
slippery,slippery,1.0,6.72,slippery,ADJ
anesthetic,anesthetic,0.95,13.05,anesthetic,NOUN
anesthetic,anesthetics,0.99,13.05,anesthetics,NOUN
balding,balding,1.0,8.39,balding,NOUN
bovine,bovine,0.89,12.41,bovine,ADJ
bovine,bovines,0.92,12.41,bovines,NOUN
fecal,fecal,0.95,11.67,fecal,ADJ
frilly,frilly,0.95,9.11,frilly,ADV
glitter,glittering,1.0,6.35,glittering,VERB
grease,greased,1.0,6.94,greased,VERB
handheld,handheld,1.0,10.4,handheld,ADJ
inflated,inflated,1.0,9.5,inflated,ADJ
interstate,interstate,1.0,9.68,interstate,NOUN
interstate,interstates,1.0,9.68,interstates,NOUN
laminate,laminated,1.0,10.53,laminated,VERB
moldy,moldy,1.0,7.28,moldy,ADJ
northeastern,northeastern,1.0,10.28,northeastern,PROPN
outdoor,outdoor,1.0,4.6,outdoor,ADJ
pink,pink,1.0,3.8,pink,ADJ
pink,pinked,1.0,3.8,pinked,VERB
pink,pinker,1.0,3.8,pinker,ADJ
pink,pinkest,1.0,3.8,pinkest,ADJ
pink,pinking,1.0,3.8,pinking,VERB
pink,pinks,1.0,3.8,pinks,NOUN
salty,saltier,1.0,5.33,saltier,ADJ
salty,saltiest,1.0,5.33,saltiest,ADJ
salty,salty,1.0,5.33,salty,ADJ
scramble,scrambled,1.0,5.61,scrambled,VERB
slim,slim,1.0,7.26,slim,ADJ
slimme,slimmed,1.0,7.26,slimmed,VERB
slim,slimmer,1.0,7.26,slimmer,ADJ
slim,slimmest,1.0,7.26,slimmest,ADJ
slim,slims,1.0,7.26,slims,VERB
strapless,strapless,0.95,11.89,strapless,NOUN
volcanic,volcanic,1.0,8.33,volcanic,ADJ
watermarke,watermarked,1.0,14.39,watermarked,VERB
watery,watery,1.0,6.65,watery,ADJ
braless,braless,0.89,10.06,braless,PROPN
bright,bright,1.0,6.58,bright,ADJ
bright,brighter,1.0,6.58,brighter,ADJ
bright,brightest,1.0,6.58,brightest,ADJ
deepwater,deepwater,0.94,10.0,deepwater,PROPN
fleshless,fleshless,0.95,10.84,fleshless,ADJ
forkful,forkful,1.0,6.84,forkful,NOUN
hardboile,hardboiled,1.0,7.06,hardboiled,VERB
metacarpal,metacarpal,0.68,16.31,metacarpal,NOUN
metacarpal,metacarpals,0.74,16.31,metacarpals,NOUN
subtotal,subtotal,1.0,10.0,subtotal,NOUN
taut,taut,1.0,11.47,taut,ADJ
pickle,pickled,1.0,9.3,pickled,VERB
frosty,frosty,1.0,6.33,frosty,ADJ
hooded,hooded,1.0,8.28,hooded,PROPN
jellied,jellied,0.95,8.0,jellied,PROPN
motorize,motorized,0.94,9.12,motorized,VERB
phosphorous,phosphorous,0.91,11.15,phosphorous,NOUN
recycle,recycled,1.0,8.32,recycled,VERB
round,round,1.0,4.75,round,ADV
rounded,rounded,1.0,4.75,rounded,ADJ
rounder,rounder,1.0,4.75,rounder,X
round,rounding,1.0,4.75,rounding,VERB
round,rounds,1.0,4.75,rounds,NOUN
unsalted,unsalted,1.0,7.26,unsalted,ADJ
velvety,velvety,1.0,8.0,velvety,NOUN
bulletproof,bulletproof,1.0,9.42,bulletproof,PROPN
coastal,coastal,1.0,8.11,coastal,PROPN
contraceptive,contraceptive,0.94,14.06,contraceptive,NOUN
contraceptive,contraceptives,0.91,14.06,contraceptives,NOUN
dimple,dimpled,0.95,10.0,dimpled,VERB
leafy,leafy,0.89,5.62,leafy,ADJ
prickly,prickly,0.94,6.29,prickly,ADJ
sugarless,sugarless,1.0,8.79,sugarless,NOUN
sugary,sugary,1.0,7.1,sugary,ADJ
white,white,1.0,4.06,white,PROPN
white,whiter,1.0,4.06,whiter,ADJ
white,whites,1.0,4.06,whites,NOUN
white,whitest,1.0,4.06,whitest,ADJ
apache,apache,0.89,10.5,apache,PROPN
apaches,apaches,0.91,10.5,apaches,PROPN
backhand,backhand,1.0,8.67,backhand,NOUN
backhand,backhands,0.98,8.67,backhands,NOUN
frothi,frothier,0.92,10.67,frothier,ADJ
frothy,frothy,0.9,10.67,frothy,ADJ
haired,haired,0.79,9.93,haired,ADJ
hilly,hilly,0.95,6.0,hilly,ADV
powder,powdered,1.0,7.11,powdered,VERB
soft,soft,1.0,3.95,soft,ADJ
soft,softer,1.0,3.95,softer,ADJ
soft,softest,1.0,3.95,softest,ADJ
umbilical,umbilical,1.0,11.61,umbilical,ADJ
wax,waxed,1.0,8.61,waxed,VERB
wigless,wigless,0.75,11.27,wigless,PROPN
rotten,rotten,1.0,6.95,rotten,ADJ
rottener,rottener,1.0,6.95,rottener,NOUN
rotten,rottenest,1.0,6.95,rottenest,ADJ
chemical,chemical,1.0,9.5,chemical,PROPN
florescent,florescent,0.94,11.0,florescent,NOUN
fluffy,fluffier,0.99,5.95,fluffier,ADJ
fluffy,fluffy,1.0,5.95,fluffy,ADJ
freckled,freckled,1.0,6.58,freckled,ADJ
roundabout,roundabout,1.0,12.74,roundabout,PROPN
roundabout,roundabouts,0.97,12.74,roundabouts,NOUN
sharp,sharp,1.0,6.11,sharp,ADJ
sharp,sharper,1.0,6.11,sharper,ADJ
sharp,sharpest,1.0,6.11,sharpest,ADJ
stillborn,stillborn,1.0,13.05,stillborn,ADJ
thirsty,thirstier,1.0,3.89,thirstier,ADJ
thirsty,thirsty,1.0,3.89,thirsty,ADJ
uncooked,uncooked,1.0,8.0,uncooked,ADJ
windowless,windowless,0.95,8.61,windowless,ADJ
windy,windiest,1.0,5.39,windiest,ADJ
windy,windy,1.0,5.39,windy,ADJ
woolen,woolen,1.0,7.83,woolen,ADJ
woolen,woolens,0.99,7.83,woolens,NOUN
antiseptic,antiseptic,0.95,9.95,antiseptic,ADJ
cold,cold,1.0,3.95,cold,ADJ
cold,colder,1.0,3.95,colder,ADJ
cold,coldest,1.0,3.95,coldest,ADJ
cold,colds,1.0,3.95,colds,NOUN
curdle,curdled,0.89,10.0,curdled,VERB
gloved,gloved,0.95,6.94,gloved,ADJ
meatless,meatless,1.0,11.15,meatless,ADJ
southernmost,southernmost,0.95,10.83,southernmost,ADJ
jaundiced,jaundiced,0.84,13.69,jaundiced,ADJ
maroon,maroon,1.0,8.28,maroon,PROPN
maroon,maroons,0.99,8.28,maroons,NOUN
varicose,varicose,0.86,12.17,varicose,NOUN
webbed,webbed,0.97,8.61,webbed,ADJ
autograph,autographed,1.0,6.94,autographed,VERB
cordless,cordless,1.0,10.47,cordless,NOUN
frizzy,frizzy,1.0,9.05,frizzy,ADJ
gymnastic,gymnastic,1.0,7.06,gymnastic,ADJ
nasal,nasal,1.0,8.75,nasal,NOUN
oily,oily,1.0,7.37,oily,ADJ
rough,rough,1.0,6.21,rough,ADJ
rough,roughed,0.99,6.21,roughed,VERB
rough,rougher,0.99,6.21,rougher,ADJ
rough,roughest,0.99,6.21,roughest,ADJ
rough,roughing,0.99,6.21,roughing,VERB
rough,roughs,0.99,6.21,roughs,NOUN
spherical,spherical,0.95,12.17,spherical,ADJ
thin,thin,1.0,6.47,thin,ADJ
thin,thinned,0.99,6.47,thinned,VERB
